,event,MJD,V,source,texp,texp_source,Verr
0,SN2013ej,56498.309,14.49,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.07
1,SN2013ej,56500.84,12.98,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.03
2,SN2013ej,56500.897,12.98,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.0
3,SN2013ej,56501.256,12.91,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.0
4,SN2013ej,56501.84,12.87,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.04
5,SN2013ej,56501.897,12.85,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.0
6,SN2013ej,56502.84,12.74,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.03
7,SN2013ej,56502.84,12.76,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.03
8,SN2013ej,56503.78,12.58,2015ApJ...807...59H,56497.5,Pessi+19 T.A1,0.03
9,SN2013ej,56503.96,12.69,2015ApJ...807...59H,56497.5,Pessi+19 T.A1,0.04
10,SN2013ej,56503.9787,12.689,2014Ap&SS.354...89B,56497.5,Pessi+19 T.A1,0.042
11,SN2013ej,56504.39,12.66,"2019MNRAS.490.2799D,2012MNRAS.425.1789S",56497.5,Pessi+19 T.A1,0.02
12,SN2013ej,56504.5021,12.614,2014Ap&SS.354...89B,56497.5,Pessi+19 T.A1,0.04
13,SN2013ej,56504.82,12.61,2015ApJ...807...59H,56497.5,Pessi+19 T.A1,0.04
14,SN2013ej,56505.42,12.53,"2019MNRAS.490.2799D,2012MNRAS.425.1789S",56497.5,Pessi+19 T.A1,0.02
15,SN2013ej,56505.88,12.49,2015ApJ...807...59H,56497.5,Pessi+19 T.A1,0.04
16,SN2013ej,56506.82,12.48,2015ApJ...807...59H,56497.5,Pessi+19 T.A1,0.12
17,SN2013ej,56506.862,12.56,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.05
18,SN2013ej,56507.49,12.53,"2019MNRAS.490.2799D,2012MNRAS.425.1789S",56497.5,Pessi+19 T.A1,0.02
19,SN2013ej,56507.51,12.53,"2019MNRAS.490.2799D,2012MNRAS.425.1789S",56497.5,Pessi+19 T.A1,0.02
20,SN2013ej,56507.905,12.52,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.04
21,SN2013ej,56508.875,12.51,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.04
22,SN2013ej,56509.52,12.52,"2019MNRAS.490.2799D,2012MNRAS.425.1789S",56497.5,Pessi+19 T.A1,0.01
23,SN2013ej,56509.857,12.5,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.03
24,SN2013ej,56509.943,12.52,2016MNRAS.461.2003Y,56497.5,Pessi+19 T.A1,0.03
