event,texp,gold_flag
SN1999em,51476.5,True
SN2009N,54846.8,True
SN2007od,54400.6,False
SN2003gd,52755.5,True
SN1999br,51276.7,False
SN2007ld,54376.5,False
SN1999cr,51246.5,False
SN1999ca,51277.5,False
SN2003hl,52868.5,False
SN2007aa,54126.7,True
SN2006iw,54010.7,False
SN2003iq,52919.5,False
SN1992af,48798.8,False
SN2008aw,54517.8,True
SN1990E,47935.1,False
SN2002gd,52551.5,False
SN1991al,48442.5,False
SN2003hn,52866.5,False
SN1990K,48001.5,False
SN1992ba,48884.9,False
SN2007it,54348.5,False
SN2003hl,52868.5,False
SN2003B,52613.5,True
SN1986L,46708.0,True
SN1993A,48995.5,False
SN1988A,47177.2,False
SN2002gw,52553.5,False
SN2002hx,52582.5,False
SN2006be,53802.8,False
SN1993S,49130.8,True
SN2003bn,52694.5,True
SN2003hg,52865.5,True
SN2007av,54173.8,False
SN1992am,48813.9,False
SN2003hd,52855.9,False
SN2008bu,54566.8,False
SN2003T,52654.5,False
SN2003E,52629.5,False
SN2007bf,54191.5,False
SN1999eg,51449.5,False
SN2008bk,54540.9,True
SN2003fb,52772.5,False
SN2003ib,52891.5,False
SN2008if,54807.8,False
SN2004er,53271.8,True
SN2002hj,52562.5,False
SN2004fx,53303.5,True
SN2005J,53379.8,False
SN2003bl,52696.5,False
SN2008gi,54742.8,False
SN2003ef,52757.5,False
SN2008M,54471.7,True
SN2003hk,52866.8,False
