,event,MJD,V,source,texp,texp_source,Verr
0,SN2008ax,54531.08,16.29,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.067
1,SN2008ax,54532.01,15.92,"2009PZ.....29....2T,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.03
2,SN2008ax,54532.05,15.952,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.042
3,SN2008ax,54532.91,15.562000000000001,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.031
4,SN2008ax,54533.03,15.527999999999999,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.013999999999999999
5,SN2008ax,54534.07,15.27,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.011000000000000001
6,SN2008ax,54535.1,14.982999999999999,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.012
7,SN2008ax,54535.99,14.819,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.013000000000000001
8,SN2008ax,54536.97,14.592,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.011000000000000001
9,SN2008ax,54537.09,14.54,"2009PZ.....29....2T,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.02
10,SN2008ax,54538.01,14.457,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.04
11,SN2008ax,54539.92,14.133,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.01
12,SN2008ax,54540.87,13.88,"2009PZ.....29....2T,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.03
13,SN2008ax,54540.93,14.005,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.01
14,SN2008ax,54543.05,13.808,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.01
15,SN2008ax,54543.86,13.714,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.01
16,SN2008ax,54543.92,13.68,"2009PZ.....29....2T,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.02
17,SN2008ax,54544.85,13.683,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.11800000000000001
18,SN2008ax,54545.89,13.56,"2009PZ.....29....2T,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.02
19,SN2008ax,54546.86,13.546,"2008MNRAS.389..955P,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.012
20,SN2008ax,54550.81,13.41,"2009PZ.....29....2T,Sternberg Astronomical Institute Supernova Light Curve Catalogue",54528.3,OBS.,0.02
